from	to
WB-PCAT2-02	WB-PCAT2-04
WB-PCAT2-02	WB-PCAT2-05
WB-PCAT2-03	WB-PCAT2-06
WB-PCAT2-04	WB-PCAT2-06
WB-PCAT2-05	WB-PCAT2-06
WB-PCAT2-06	WB-PCAT2-DONE
WA-JOIN	WB-IDLE-01
WB-SHIP-DONE	WB-IDLE-01
WB-IDLE-01	WB-IDLE-02
WB-IDLE-02	WB-IDLE-DONE
WA-JOIN	WB-SMOKE-01
WB-SHIP-DONE	WB-SMOKE-01
WB-SMOKE-01	WB-SMOKE-02
WB-SMOKE-02	WB-SMOKE-03
WB-SMOKE-03	WB-SMOKE-DONE
WA-JOIN	WB-LINT-T01
WB-SHIP-DONE	WB-LINT-T01
WB-LINT-T01	WB-LINT-T02
WB-LINT-T02	WB-LINT-T03
WB-LINT-T03	WB-LINT-TDONE
WA-JOIN	WB-A11Y-01
WB-SHIP-DONE	WB-A11Y-01
WB-SMOKE-DONE	WB-A11Y-01
WB-A11Y-01	WB-A11Y-02
WB-A11Y-02	WB-A11Y-DONE
WA-JOIN	WB-DOC2-01
WB-SHIP-DONE	WB-DOC2-01
WB-PCAT2-DONE	WB-DOC2-02
WB-IDLE-DONE	WB-DOC2-02
WB-DOC2-01	WB-DOC2-03
WB-DOC2-02	WB-DOC2-03
WB-DOC2-03	WB-DOC2-DONE
WB-PCAT2-DONE	WB-PERF2-JOIN
WB-IDLE-DONE	WB-PERF2-JOIN
WB-PERF2-JOIN	WB-PERF2-SIZE
WB-PERF2-SIZE	WB-PERF2-DONE
WB-SHIP-DONE	WB-JOIN
WB-PERF2-DONE	WB-JOIN
WB-SMOKE-DONE	WB-JOIN
WB-LINT-TDONE	WB-JOIN
WB-A11Y-DONE	WB-JOIN
WB-DOC2-DONE	WB-JOIN
WB-JOIN	WC-TYPE
WC-TYPE	WC-JOIN
WB-JOIN	WC-UNIT
WC-UNIT	WC-JOIN
WB-JOIN	WC-LINT
WC-LINT	WC-JOIN
WB-JOIN	WC-BUILD
WC-BUILD	WC-JOIN
WB-JOIN	WC-SIZE-01
WC-SIZE-01	WC-JOIN
WB-JOIN	WC-SIZE-02
WC-SIZE-02	WC-JOIN
WB-JOIN	WC-SIZE-03
WC-SIZE-03	WC-JOIN
WB-JOIN	WC-BROWSER
WC-BROWSER	WC-JOIN
WB-JOIN	WC-CAT
WC-CAT	WC-JOIN
WB-JOIN	WC-FMT
WC-FMT	WC-JOIN
WC-JOIN	WD-RF01
WD-RF01	WD-SK-JOIN
WC-JOIN	WD-RF02
WD-RF02	WD-SK-JOIN
WC-JOIN	WD-RF03
WD-RF03	WD-SK-JOIN
WC-JOIN	WD-RF04
WD-RF04	WD-SK-JOIN
WC-JOIN	WD-RF05
WD-RF05	WD-SK-JOIN
WC-JOIN	WD-RF06
WD-RF06	WD-SK-JOIN
WC-JOIN	WD-RF07
WD-RF07	WD-SK-JOIN
WC-JOIN	WD-RF08
WD-RF08	WD-SK-JOIN
WC-JOIN	WD-RF09
WD-RF09	WD-SK-JOIN
WC-JOIN	WD-RF10
WD-RF10	WD-SK-JOIN
WC-JOIN	WD-RF11
WD-RF11	WD-SK-JOIN
WC-JOIN	WD-RF12
WD-RF12	WD-SK-JOIN
WC-JOIN	WD-RF13
WD-RF13	WD-SK-JOIN
WC-JOIN	WD-RF14
WD-RF14	WD-SK-JOIN
WC-JOIN	WD-RF15
WD-RF15	WD-SK-JOIN
WC-JOIN	WD-SK-01
WD-SK-01	WD-SK-JOIN
WC-JOIN	WD-SK-02
WD-SK-02	WD-SK-JOIN
WC-JOIN	WD-SK-03
WD-SK-03	WD-SK-JOIN
WC-JOIN	WD-SK-04
WD-SK-04	WD-SK-JOIN
WC-JOIN	WD-SK-05
WD-SK-05	WD-SK-JOIN
WD-SK-JOIN	WE-CLOSE
