from	to	kind
W2.A.gemini-grounding	W2.G.quote_provenance	dep
W2.A.gemini-prompting-mm	W2.G.quote_provenance	dep
W2.A.owasp-agent-security	W2.G.quote_provenance	dep
W2.M.B1	W2.G.quote_provenance	dep
W2.M.B2	W2.G.quote_provenance	dep
W2.M.B3B4	W2.G.quote_provenance	dep
W2.M.A	W2.G.quote_provenance	dep
W2.A.openai-agents-guardrails	W2.G.claim_le_evidence	dep
W2.A.openai-agent-evals	W2.G.claim_le_evidence	dep
W2.A.openai-citation-formatting	W2.G.claim_le_evidence	dep
W2.A.openai-eval-best-practices	W2.G.claim_le_evidence	dep
W2.A.openai-retrieval	W2.G.claim_le_evidence	dep
W2.A.anthropic-citations	W2.G.claim_le_evidence	dep
W2.A.anthropic-tool-use-refresh	W2.G.claim_le_evidence	dep
W2.A.gemini-grounding	W2.G.claim_le_evidence	dep
W2.A.gemini-prompting-mm	W2.G.claim_le_evidence	dep
W2.A.owasp-agent-security	W2.G.claim_le_evidence	dep
W2.M.B1	W2.G.claim_le_evidence	dep
W2.M.B2	W2.G.claim_le_evidence	dep
W2.M.B3B4	W2.G.claim_le_evidence	dep
W2.M.A	W2.G.claim_le_evidence	dep
W2.A.openai-agents-guardrails	W2.G.invent_scan	dep
W2.A.openai-agent-evals	W2.G.invent_scan	dep
W2.A.openai-citation-formatting	W2.G.invent_scan	dep
W2.A.openai-eval-best-practices	W2.G.invent_scan	dep
W2.A.openai-retrieval	W2.G.invent_scan	dep
W2.A.anthropic-citations	W2.G.invent_scan	dep
W2.A.anthropic-tool-use-refresh	W2.G.invent_scan	dep
W2.A.gemini-grounding	W2.G.invent_scan	dep
W2.A.gemini-prompting-mm	W2.G.invent_scan	dep
W2.A.owasp-agent-security	W2.G.invent_scan	dep
W2.M.B1	W2.G.invent_scan	dep
W2.M.B2	W2.G.invent_scan	dep
W2.M.B3B4	W2.G.invent_scan	dep
W2.M.A	W2.G.invent_scan	dep
W2.A.openai-agents-guardrails	W2.G.support_tier_tagged	dep
W2.A.openai-agent-evals	W2.G.support_tier_tagged	dep
W2.A.openai-citation-formatting	W2.G.support_tier_tagged	dep
W2.A.openai-eval-best-practices	W2.G.support_tier_tagged	dep
W2.A.openai-retrieval	W2.G.support_tier_tagged	dep
W2.A.anthropic-citations	W2.G.support_tier_tagged	dep
W2.A.anthropic-tool-use-refresh	W2.G.support_tier_tagged	dep
W2.A.gemini-grounding	W2.G.support_tier_tagged	dep
W2.A.gemini-prompting-mm	W2.G.support_tier_tagged	dep
W2.A.owasp-agent-security	W2.G.support_tier_tagged	dep
W2.M.B1	W2.G.support_tier_tagged	dep
W2.M.B2	W2.G.support_tier_tagged	dep
W2.M.B3B4	W2.G.support_tier_tagged	dep
W2.M.A	W2.G.support_tier_tagged	dep
W2.G.boilerplate_zero	J2	dep
W2.G.quote_provenance	J2	dep
W2.G.claim_le_evidence	J2	dep
W2.G.invent_scan	J2	dep
W2.G.support_tier_tagged	J2	dep
W2.A.openai-agents-guardrails	W3.0	dep
J2	W3.1	dep
W3.0	W3.1	dep
J2	W3.2	dep
W3.0	W3.3	dep
J2	W3.4	dep
W3.0	J3	dep
W3.1	J3	dep
W3.2	J3	dep
W3.3	J3	dep
W3.4	J3	dep
J0	W4.0	dep
J0	W4.1	dep
J0	W4.2	dep
J0	W4.3	dep
J0	W4.4	dep
J0	W4.5	dep
J0	W4.6	dep
J0	W4.7	dep
W4.0	J4	dep
W4.1	J4	dep
W4.2	J4	dep
W4.3	J4	dep
W4.4	J4	dep
W4.5	J4	dep
W4.6	J4	dep
W4.7	J4	dep
J1	JM	dep
J2	JM	dep
J3	JM	dep
J4	JM	dep
W5.0	W5.1	dep
W5.1	W5.2	dep
W5.1	W5.3	dep
W5.1	W5.4	dep
W5.0	W5.5	dep
J1	W5.5	dep
W5.2	W5.5a	dep
W5.3	W5.5a	dep
W5.4	W5.5a	dep
W5.2	W5.5b	dep
W5.3	W5.5b	dep
W5.4	W5.5b	dep
W5.2	W5.5c	dep
W5.3	W5.5c	dep
W5.4	W5.5c	dep
W5.2	W5.5d	dep
W5.3	W5.5d	dep
W5.4	W5.5d	dep
W5.2	W5.5e	dep
W5.3	W5.5e	dep
W5.4	W5.5e	dep
W5.2	W5.5f	dep
W5.3	W5.5f	dep
W5.4	W5.5f	dep
W5.2	W5.5g	dep
W5.3	W5.5g	dep
W5.4	W5.5g	dep
W5.2	W5.5h	dep
W5.3	W5.5h	dep
W5.4	W5.5h	dep
W5.2	W5.5i	dep
W5.3	W5.5i	dep
W5.4	W5.5i	dep
W5.2	W5.5j	dep
W5.3	W5.5j	dep
W5.4	W5.5j	dep
W5.5a	J5	dep
W5.5b	J5	dep
W5.5c	J5	dep
W5.5d	J5	dep
W5.5e	J5	dep
W5.5f	J5	dep
W5.5g	J5	dep
W5.5h	J5	dep
W5.5i	J5	dep
W5.5j	J5	dep
J5	W6.0	dep
J4	W6.0	dep
J5	W6.1	dep
J5	W6.2	dep
J5	W6.3	dep
J5	W6.4	dep
J5	W6.5	dep
J5	W6.6	dep
W6.0	W7.0	dep
W6.1	W7.0	dep
W6.2	W7.0	dep
W6.3	W7.0	dep
W6.4	W7.0	dep
W6.5	W7.0	dep
W6.6	W7.0	dep
W1.C.0	W1.CANARY.readme_preview	dep
W1.CANARY.readme_preview	J1	dep
W1.C.0	W1.V.evaluation-flywheel	dep
W1.V.evaluation-flywheel	J1	dep
W1.C.1	W1.V.zero-shot-chain-of-thought	dep
W1.V.zero-shot-chain-of-thought	J1	dep
W1.C.2	W1.V.rag-citation-grounded-answering	dep
W1.V.rag-citation-grounded-answering	J1	dep
W2.A.W2.A.openai-agents-guardrails	W2.V.W2.A.openai-agents-guardrails	dep
W2.V.W2.A.openai-agents-guardrails	J2	dep
W2.A.W2.A.openai-agent-evals	W2.V.W2.A.openai-agent-evals	dep
W2.V.W2.A.openai-agent-evals	J2	dep
W2.A.W2.A.openai-citation-formatting	W2.V.W2.A.openai-citation-formatting	dep
W2.V.W2.A.openai-citation-formatting	J2	dep
W2.A.W2.A.openai-eval-best-practices	W2.V.W2.A.openai-eval-best-practices	dep
W2.V.W2.A.openai-eval-best-practices	J2	dep
W2.A.W2.A.openai-retrieval	W2.V.W2.A.openai-retrieval	dep
W2.V.W2.A.openai-retrieval	J2	dep
W2.A.W2.A.anthropic-citations	W2.V.W2.A.anthropic-citations	dep
W2.V.W2.A.anthropic-citations	J2	dep
W2.A.W2.A.anthropic-tool-use-refresh	W2.V.W2.A.anthropic-tool-use-refresh	dep
W2.V.W2.A.anthropic-tool-use-refresh	J2	dep
W2.A.W2.A.gemini-grounding	W2.V.W2.A.gemini-grounding	dep
W2.V.W2.A.gemini-grounding	J2	dep
W2.A.W2.A.gemini-prompting-mm	W2.V.W2.A.gemini-prompting-mm	dep
W2.V.W2.A.gemini-prompting-mm	J2	dep
W2.A.W2.A.owasp-agent-security	W2.V.W2.A.owasp-agent-security	dep
W2.V.W2.A.owasp-agent-security	J2	dep
W2.S.openai-agents-guardrails.0	W2.SV.openai-agents-guardrails.0	dep
W2.SV.openai-agents-guardrails.0	W2.A.openai-agents-guardrails	dep
W2.S.openai-agents-guardrails.1	W2.SV.openai-agents-guardrails.1	dep
W2.SV.openai-agents-guardrails.1	W2.A.openai-agents-guardrails	dep
W2.S.openai-agent-evals.0	W2.SV.openai-agent-evals.0	dep
W2.SV.openai-agent-evals.0	W2.A.openai-agent-evals	dep
W2.S.openai-citation-formatting.0	W2.SV.openai-citation-formatting.0	dep
W2.SV.openai-citation-formatting.0	W2.A.openai-citation-formatting	dep
W2.S.openai-eval-best-practices.0	W2.SV.openai-eval-best-practices.0	dep
W2.SV.openai-eval-best-practices.0	W2.A.openai-eval-best-practices	dep
W2.S.openai-retrieval.0	W2.SV.openai-retrieval.0	dep
W2.SV.openai-retrieval.0	W2.A.openai-retrieval	dep
W2.S.anthropic-citations.0	W2.SV.anthropic-citations.0	dep
W2.SV.anthropic-citations.0	W2.A.anthropic-citations	dep
W2.S.anthropic-tool-use-refresh.0	W2.SV.anthropic-tool-use-refresh.0	dep
W2.SV.anthropic-tool-use-refresh.0	W2.A.anthropic-tool-use-refresh	dep
W2.S.gemini-grounding.0	W2.SV.gemini-grounding.0	dep
W2.SV.gemini-grounding.0	W2.A.gemini-grounding	dep
W2.S.gemini-prompting-mm.0	W2.SV.gemini-prompting-mm.0	dep
W2.SV.gemini-prompting-mm.0	W2.A.gemini-prompting-mm	dep
W2.S.owasp-agent-security.0	W2.SV.owasp-agent-security.0	dep
W2.SV.owasp-agent-security.0	W2.A.owasp-agent-security	dep
W4.0	W4.V.0	dep
W4.V.0	J4	dep
W4.0	W4.V.1	dep
W4.V.1	J4	dep
W4.0	W4.V.2	dep
W4.V.2	J4	dep
W4.0	W4.V.3	dep
W4.V.3	J4	dep
W4.0	W4.V.4	dep
W4.V.4	J4	dep
W4.0	W4.V.5	dep
W4.V.5	J4	dep
JM	W5.F.0	dep
W5.F.0	W5.0	dep
J5	W6.7	dep
W6.7	W7.0	dep
W0.0	W0.11	dep
W0.11	J0	dep
W0.7	W2.P.openai-agents-guardrails.0	dep
W2.P.openai-agents-guardrails.0	W2.S.openai-agents-guardrails.0	dep
W0.7	W2.P.openai-agents-guardrails.1	dep
W2.P.openai-agents-guardrails.1	W2.S.openai-agents-guardrails.1	dep
W0.7	W2.P.openai-agent-evals.0	dep
W2.P.openai-agent-evals.0	W2.S.openai-agent-evals.0	dep
W0.7	W2.P.openai-citation-formatting.0	dep
W2.P.openai-citation-formatting.0	W2.S.openai-citation-formatting.0	dep
W0.7	W2.P.openai-eval-best-practices.0	dep
W2.P.openai-eval-best-practices.0	W2.S.openai-eval-best-practices.0	dep
W0.7	W2.P.openai-retrieval.0	dep
W2.P.openai-retrieval.0	W2.S.openai-retrieval.0	dep
W0.7	W2.P.anthropic-citations.0	dep
W2.P.anthropic-citations.0	W2.S.anthropic-citations.0	dep
W0.7	W2.P.anthropic-tool-use-refresh.0	dep
W2.P.anthropic-tool-use-refresh.0	W2.S.anthropic-tool-use-refresh.0	dep
W0.7	W2.P.gemini-grounding.0	dep
W2.P.gemini-grounding.0	W2.S.gemini-grounding.0	dep
W0.7	W2.P.gemini-prompting-mm.0	dep
W2.P.gemini-prompting-mm.0	W2.S.gemini-prompting-mm.0	dep
W0.7	W2.P.owasp-agent-security.0	dep
W2.P.owasp-agent-security.0	W2.S.owasp-agent-security.0	dep
